carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib,type,manufacturer,model,engines,seats,engine,arr_delay
DL,1847,N674DL,LGA,ATL,112.0,762,10,0,60.08,46.94,61.79,170.0,16.11092,,0.0,1027.4,10.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,0.0
9E,4065,N8554A,LGA,SDF,117.0,659,9,30,44.96,39.02,79.54,180.0,6.90468,,0.0,1024.8,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
9E,3611,N8903A,JFK,PIT,67.0,340,7,59,55.04,50.0,83.08,50.0,3.45234,,0.0,1005.6,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
EV,4085,N14188,EWR,OMA,149.0,1134,20,50,80.06,59.0,48.64,230.0,6.90468,,0.0,1015.5,10.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,1.0
9E,2906,N8837B,JFK,BUF,54.0,301,8,15,32.0,10.94,40.99,330.0,16.11092,,0.0,1028.5,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
EV,5797,N14920,EWR,RIC,53.0,277,11,32,39.92,17.96,40.72,300.0,9.20624,,0.0,1035.5,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
9E,3393,N912XJ,JFK,DCA,45.0,213,14,50,80.96,50.0,34.01,330.0,12.65858,24.16638,0.0,1011.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
UA,1645,N12218,EWR,SAT,245.0,1569,18,0,64.04,51.08,62.71,150.0,12.65858,18.41248,0.0,1009.8,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,1.0
WN,184,N791SW,EWR,MDW,111.0,711,20,30,44.06,42.08,92.69,20.0,12.65858,,0.0,1006.4,6.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,1.0
EV,4705,N16981,EWR,ATL,142.0,746,16,35,39.02,24.98,56.77,340.0,8.05546,,0.0,1025.5,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
B6,1069,N184JB,JFK,AUS,224.0,1521,20,30,39.92,24.08,52.79,360.0,10.35702,,0.0,1017.6,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
DL,2231,N3731T,LGA,DTW,81.0,502,16,30,78.08,48.02,34.72,170.0,9.20624,18.41248,0.0,1020.6,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
US,2124,N959UW,LGA,BOS,39.0,184,11,0,80.96,64.94,58.25,320.0,17.2617,,0.0,1006.8,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
MQ,3658,N519MQ,LGA,ATL,102.0,762,11,55,73.04,39.92,30.14,250.0,9.20624,,0.0,1018.3,10.0,Fixed wing single engine,CESSNA,A185F,1.0,6.0,Reciprocating,0.0
B6,408,N358JB,JFK,PWM,48.0,273,17,5,69.08,50.0,50.6,160.0,12.65858,,0.0,1022.3,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
DL,2247,N678DL,LGA,ATL,111.0,762,13,59,78.08,71.96,88.59,50.0,12.65858,,0.04,,10.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,1.0
B6,83,N615JB,JFK,SEA,336.0,2422,13,40,50.0,26.96,40.55,230.0,10.35702,,0.0,1010.1,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
WN,216,N228WN,EWR,MDW,121.0,711,17,30,59.0,53.06,82.12,150.0,8.05546,,0.0,,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,1.0
B6,369,N585JB,LGA,PBI,163.0,1035,16,27,48.02,42.8,87.19,,9.20624,,0.0,,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
EV,5693,N828AS,LGA,IAD,43.0,229,19,36,21.2,15.98,80.55,240.0,8.05546,,0.01,,1.5,Fixed wing multi engine,CANADAIR,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
EV,4373,N12564,EWR,DCA,46.0,199,17,3,30.02,15.08,53.29,240.0,9.20624,,0.0,1019.3,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
MQ,3531,N831MQ,LGA,RDU,72.0,431,8,40,35.6,28.4,78.62,330.0,18.41248,,0.0,,1.0,,,,,,,1.0
DL,1942,N318NB,EWR,ATL,104.0,746,15,45,48.92,39.02,68.51,20.0,11.5078,,0.0,1023.6,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-114,2.0,145.0,Turbo-fan,1.0
US,1629,N950UW,LGA,PHL,36.0,96,6,0,71.96,62.96,73.3,230.0,6.90468,,0.0,1012.5,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
UA,389,N508UA,JFK,SFO,351.0,2586,18,30,66.02,55.04,67.69,180.0,12.65858,,0.0,1019.4,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
9E,4105,N8971A,JFK,IAD,45.0,228,15,20,35.96,1.94,23.24,280.0,12.65858,23.0156,0.0,1022.4,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
EV,5283,N391CA,LGA,CVG,,585,13,10,66.02,53.96,65.07,230.0,18.41248,25.31716,0.0,1001.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,
EV,4162,N14977,EWR,BTV,45.0,266,21,59,33.98,12.02,39.72,310.0,12.65858,,0.0,1015.9,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
9E,4059,N8775A,LGA,DAY,82.0,549,18,50,82.94,62.96,50.97,170.0,10.35702,,0.0,1018.2,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
UA,461,N587UA,EWR,IAH,194.0,1400,20,0,48.02,26.06,42.07,320.0,8.05546,,0.0,1019.8,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
EV,4255,N13958,EWR,CHS,98.0,628,10,15,66.92,46.94,48.6,340.0,16.11092,,0.0,1008.4,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
B6,611,N317JB,JFK,JAX,115.0,828,8,29,55.4,51.8,87.65,10.0,10.35702,,0.0,,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
US,1973,N104UW,EWR,CLT,84.0,529,18,29,48.92,44.96,86.13,0.0,0.0,,0.0,1017.2,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-214,2.0,182.0,Turbo-fan,0.0
B6,1516,N228JB,JFK,SYR,44.0,209,17,11,78.98,64.94,62.16,200.0,14.96014,,0.0,1018.8,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
UA,580,N560UA,JFK,SFO,326.0,2586,12,0,82.94,71.06,67.44,180.0,11.5078,,0.0,1008.1,9.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
9E,3754,N8968E,JFK,IAD,41.0,228,14,55,66.92,51.08,56.73,160.0,6.90468,,0.0,1020.7,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
B6,2002,N298JB,JFK,BUF,56.0,301,22,55,66.02,62.96,89.86,120.0,8.05546,,0.0,1019.4,5.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
US,2181,N752US,LGA,DCA,41.0,214,13,0,53.06,33.08,46.46,0.0,0.0,,0.0,1011.7,9.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A319-112,2.0,179.0,Turbo-fan,0.0
B6,1273,N183JB,JFK,CHS,88.0,636,7,55,82.04,71.96,71.59,260.0,10.35702,,0.0,1024.3,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
B6,683,N526JB,JFK,MCO,136.0,944,7,0,64.94,59.0,81.07,0.0,0.0,,0.0,1019.5,9.0,,,,,,,1.0
MQ,3526,N504MQ,LGA,CMH,70.0,479,18,0,75.92,66.92,73.68,210.0,8.05546,,0.0,1011.9,10.0,,,,,,,1.0
UA,1066,N16701,EWR,BOS,45.0,200,21,57,48.02,46.04,92.81,0.0,0.0,,0.0,1025.9,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,0.0
UA,1701,N73278,EWR,FLL,144.0,1065,6,15,24.08,17.96,77.14,270.0,8.05546,,0.0,1016.4,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
9E,3513,N912XJ,LGA,MKE,116.0,738,18,45,41.0,21.92,46.23,350.0,10.35702,24.16638,0.0,1023.5,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,0.0
EV,4687,N13997,EWR,CVG,95.0,569,15,0,75.92,62.06,62.17,250.0,10.35702,,0.0,1012.6,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
DL,83,N939DL,JFK,MIA,162.0,1089,18,14,60.08,42.98,53.15,190.0,18.41248,,0.0,1017.8,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS AIRCRAFT CO,MD-88,2.0,142.0,Turbo-fan,0.0
B6,1,N655JB,JFK,FLL,155.0,1069,11,25,57.02,24.08,27.82,300.0,14.96014,20.71404,0.0,1022.5,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
WN,1271,N935WN,EWR,MDW,98.0,711,20,30,78.98,62.96,57.99,220.0,16.11092,25.31716,0.0,999.5,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,1.0
DL,1565,N624AG,JFK,SFO,325.0,2586,13,59,82.04,66.02,58.4,230.0,16.11092,,0.0,1014.1,10.0,Fixed wing multi engine,BOEING,757-2Q8,2.0,178.0,Turbo-fan,0.0
AA,753,N3CVAA,LGA,DFW,,1389,13,40,60.08,48.92,66.56,180.0,23.0156,31.07106,0.0,1025.2,10.0,,,,,,,
UA,1581,N37413,EWR,SEA,319.0,2402,8,42,75.02,64.04,68.69,30.0,11.5078,,0.0,1016.1,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
VX,399,N625VA,JFK,LAX,345.0,2475,7,15,62.96,44.06,50.03,40.0,8.05546,,0.0,1022.8,10.0,Fixed wing multi engine,AIRBUS,A320-214,2.0,182.0,Turbo-fan,1.0
MQ,4255,N622MQ,JFK,BNA,124.0,765,17,25,33.08,6.98,32.85,260.0,12.65858,,0.0,1023.0,10.0,,,,,,,0.0
MQ,4607,N537MQ,LGA,CMH,74.0,479,8,29,37.94,14.0,37.05,10.0,13.80936,,0.0,1024.2,10.0,,,,,,,0.0
AA,179,N328AA,JFK,SFO,342.0,2586,10,30,69.08,46.04,43.61,290.0,13.80936,,0.0,1011.3,10.0,Fixed wing multi engine,BOEING,767-223,2.0,255.0,Turbo-fan,0.0
US,1431,N537UW,EWR,CLT,78.0,529,5,0,60.98,59.0,93.19,70.0,6.90468,,0.01,1017.5,5.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,Turbo-fan,0.0
EV,4422,N13995,EWR,PIT,55.0,319,6,30,69.98,68.0,93.44,270.0,5.7539,,0.0,1015.5,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,667,N454UA,EWR,PBI,130.0,1023,21,8,78.98,62.06,56.18,250.0,12.65858,20.71404,0.0,1012.7,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,1.0
US,425,N523UW,JFK,CLT,79.0,541,18,29,57.92,48.92,71.9,110.0,3.45234,,0.0,1025.7,10.0,Fixed wing multi engine,AIRBUS,A321-231,2.0,379.0,Turbo-fan,0.0
EV,5791,N11150,EWR,PIT,61.0,319,6,39,41.0,24.98,52.56,260.0,5.7539,,0.0,1022.8,10.0,Fixed wing multi engine,EMBRAER,EMB-145XR,2.0,55.0,Turbo-fan,0.0
9E,3395,N903XJ,JFK,DCA,39.0,213,20,30,75.92,60.98,59.84,280.0,16.11092,24.16638,0.0,1004.7,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
EV,3818,N15555,EWR,IAD,39.0,212,6,0,46.94,30.02,51.55,30.0,5.7539,,0.0,1030.1,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
UA,1519,N12116,EWR,MCO,137.0,937,11,30,80.96,66.02,60.49,,6.90468,,0.0,1011.2,9.0,Fixed wing multi engine,BOEING,757-224,2.0,178.0,Turbo-jet,0.0
AA,1850,N3ERAA,JFK,BOS,34.0,187,12,45,42.98,24.98,48.7,320.0,17.2617,,0.0,1017.6,10.0,,,,,,,0.0
DL,1919,N944DN,LGA,MSP,157.0,1020,6,10,39.02,21.02,48.07,350.0,13.80936,19.56326,0.0,1032.3,10.0,Fixed wing multi engine,MCDONNELL DOUGLAS,MD-90-30,2.0,142.0,Turbo-fan,0.0
UA,743,N569UA,EWR,LAX,311.0,2454,16,29,78.98,51.98,39.05,280.0,13.80936,23.0156,0.0,1009.0,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
UA,1692,N17229,EWR,SFO,396.0,2565,18,53,80.96,51.08,35.4,260.0,12.65858,,0.0,,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,1.0
B6,1471,N633JB,LGA,FLL,151.0,1076,10,55,39.02,10.94,31.02,290.0,20.71404,26.46794,0.0,1020.8,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
DL,503,N3746H,JFK,SAN,319.0,2446,17,15,71.06,39.92,32.23,,4.60312,,0.0,1019.3,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,1.0
UA,1695,N16217,EWR,IAH,206.0,1400,15,16,78.98,68.0,69.11,140.0,11.5078,20.71404,0.0,1013.4,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,1.0
UA,772,N565UA,EWR,MIA,174.0,1085,6,34,26.06,15.98,65.21,310.0,6.90468,,0.0,1022.4,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
B6,318,N351JB,JFK,BOS,36.0,187,6,45,68.0,62.06,81.29,60.0,4.60312,,0.0,1024.5,9.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
UA,1480,N77431,EWR,SFO,348.0,2565,10,0,64.94,42.08,43.26,0.0,0.0,,0.0,1014.6,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
EV,4107,N12957,EWR,CVG,93.0,569,8,42,39.92,30.92,69.96,280.0,6.90468,,0.0,1007.0,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
AA,1949,N3FMAA,JFK,LAS,319.0,2248,7,35,71.96,55.04,55.22,10.0,4.60312,,0.0,1012.2,10.0,,,,,,,1.0
B6,971,N562JB,LGA,FLL,153.0,1076,10,45,50.0,28.94,43.99,210.0,10.35702,,0.0,1021.4,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,1.0
UA,1461,N39728,EWR,IAH,209.0,1400,12,0,51.08,39.02,63.22,110.0,8.05546,,0.0,1019.2,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,0.0
B6,1119,N247JB,JFK,CLT,97.0,541,17,7,64.94,41.0,41.49,260.0,12.65858,,0.0,1012.3,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
EV,4900,N761ND,EWR,DTW,92.0,488,16,35,42.08,30.92,64.35,100.0,11.5078,20.71404,0.0,1021.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
UA,535,N568UA,JFK,LAX,361.0,2475,17,59,50.0,39.02,65.8,140.0,6.90468,,0.0,1032.2,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
US,675,N604AW,EWR,CLT,85.0,529,8,15,37.04,30.92,78.31,0.0,0.0,,0.0,1028.7,7.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
B6,1119,N339JB,JFK,CLT,78.0,541,17,0,73.04,55.04,53.24,160.0,6.90468,,0.0,1026.2,10.0,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
UA,991,N526UA,EWR,SAN,335.0,2425,8,30,39.92,33.08,76.32,50.0,18.41248,29.92028,0.0,1012.4,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,0.0
9E,2941,N8930E,JFK,SDF,114.0,662,16,10,50.0,44.06,79.94,190.0,3.45234,,0.0,1014.0,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,0.0
UA,1134,N76515,EWR,PHX,282.0,2133,12,12,69.98,42.08,36.36,140.0,11.5078,18.41248,0.0,1021.8,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
EV,4893,N611QX,EWR,DTW,86.0,488,12,50,33.98,10.94,37.86,300.0,14.96014,,0.0,1032.1,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
UA,1205,N76062,EWR,IAH,204.0,1400,15,15,51.98,14.0,21.72,290.0,23.0156,31.07106,0.0,1008.3,10.0,Fixed wing multi engine,BOEING,767-424ER,2.0,292.0,Turbo-jet,0.0
UA,1263,N87527,EWR,DEN,197.0,1605,12,3,69.08,55.04,60.91,110.0,5.7539,,0.0,1020.4,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
EV,4509,N26545,EWR,PWM,46.0,284,21,30,69.98,57.02,63.45,180.0,4.60312,,0.0,1018.2,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,1.0
MQ,3370,N834MQ,JFK,DCA,44.0,213,7,55,44.96,35.96,70.52,10.0,9.20624,,0.0,1029.5,10.0,,,,,,,0.0
FL,345,N309AT,LGA,ATL,104.0,762,6,0,75.92,64.04,66.65,220.0,6.90468,,0.0,1014.2,10.0,Fixed wing multi engine,BOEING,737-7BD,2.0,149.0,Turbo-fan,0.0
UA,1294,N18243,EWR,SFO,336.0,2565,12,47,78.98,53.06,40.64,260.0,10.35702,23.0156,0.0,1015.1,10.0,Fixed wing multi engine,BOEING,737-824,2.0,149.0,Turbo-fan,0.0
MQ,3546,N501MQ,LGA,MSP,128.0,1020,11,45,73.94,68.0,88.43,50.0,13.80936,,0.0,,6.0,,,,,,,1.0
MQ,3301,N518MQ,LGA,RDU,65.0,431,17,55,64.94,41.0,41.49,310.0,12.65858,,0.0,1014.9,10.0,,,,,,,1.0
B6,711,N827JB,JFK,LAS,299.0,2248,18,30,60.08,39.02,45.6,150.0,6.90468,,0.0,1027.9,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
UA,390,N538UA,LGA,IAH,187.0,1416,5,45,64.94,48.92,56.08,20.0,8.05546,,0.0,1022.8,10.0,Fixed wing multi engine,BOEING,757-222,2.0,178.0,Turbo-jet,1.0
EV,5795,N22971,EWR,PIT,58.0,319,11,59,80.06,62.06,54.23,210.0,5.7539,16.11092,0.0,1017.6,10.0,Fixed wing multi engine,EMBRAER,EMB-145LR,2.0,55.0,Turbo-fan,0.0
DL,1499,N6712B,LGA,ATL,115.0,762,17,0,30.2,8.6,39.7,290.0,19.56326,29.92028,0.0,,10.0,Fixed wing multi engine,BOEING,757-232,2.0,178.0,Turbo-fan,1.0
DL,1275,N3752,JFK,SLC,265.0,1990,11,0,42.98,33.08,67.81,140.0,9.20624,,0.0,1029.2,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
AA,1599,N3DLAA,LGA,MIA,155.0,1096,10,40,35.96,15.08,41.99,240.0,6.90468,,0.0,1027.3,10.0,,,,,,,1.0
AA,313,N4XYAA,LGA,ORD,103.0,733,9,10,62.06,39.02,42.51,310.0,4.60312,,0.0,1027.1,10.0,,,,,,,0.0
WN,1654,N484WN,LGA,MDW,108.0,725,17,40,78.98,50.0,36.29,180.0,9.20624,,0.0,1023.7,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,1.0
UA,1655,N24729,EWR,SNA,348.0,2434,7,5,19.94,6.8,57.41,280.0,16.11092,,0.0,,9.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,0.0
UA,367,N412UA,EWR,MCO,132.0,937,19,43,75.02,60.98,61.66,250.0,5.7539,,0.0,1015.0,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
UA,673,N460UA,LGA,ORD,113.0,733,10,0,33.98,14.0,43.33,310.0,17.2617,,0.0,1027.7,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
MQ,4426,N719MQ,LGA,CMH,75.0,479,13,0,35.96,28.94,75.39,360.0,21.86482,29.92028,0.01,,6.0,,,,,,,1.0
B6,83,N627JB,JFK,MCO,130.0,944,15,0,93.02,75.02,55.99,190.0,16.11092,,0.0,1010.8,8.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
WN,644,N463WN,EWR,MDW,116.0,711,12,5,46.04,28.94,51.03,250.0,10.35702,,0.0,1016.3,10.0,Fixed wing multi engine,BOEING,737-7H4,2.0,140.0,Turbo-fan,1.0
UA,1263,N16732,LGA,ORD,112.0,733,18,5,35.96,23.0,58.94,90.0,9.20624,,0.0,1033.4,10.0,Fixed wing multi engine,BOEING,737-724,2.0,149.0,Turbo-jet,0.0
EV,5769,N836AS,LGA,IAD,53.0,229,19,31,57.02,28.04,32.78,170.0,16.11092,,0.0,1023.3,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2B19,2.0,55.0,Turbo-fan,1.0
EV,5461,N708EV,LGA,RIC,48.0,292,17,55,39.92,17.96,40.72,260.0,12.65858,,0.0,1025.9,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2C10,2.0,80.0,Turbo-fan,1.0
UA,1266,N27477,EWR,LAX,304.0,2454,17,29,75.02,53.96,47.89,50.0,8.05546,,0.0,1020.6,10.0,Fixed wing multi engine,BOEING,737-924ER,2.0,191.0,Turbo-fan,0.0
AA,2041,N5BTAA,JFK,MIA,154.0,1089,12,45,80.6,69.98,71.39,240.0,9.20624,,0.0,,10.0,,,,,,,0.0
DL,1747,N37700,LGA,ATL,119.0,762,9,0,41.0,21.02,44.51,340.0,16.11092,,0.0,1016.9,10.0,Fixed wing multi engine,BOEING,737-832,2.0,189.0,Turbo-jet,0.0
B6,5,N503JB,EWR,FLL,147.0,1065,9,0,66.02,51.98,60.51,10.0,17.2617,,0.0,1016.5,10.0,Fixed wing multi engine,AIRBUS INDUSTRIE,A320-232,2.0,200.0,Turbo-fan,0.0
B6,2180,N354JB,EWR,BOS,41.0,200,6,8,71.6,68.0,94.01,320.0,10.35702,,0.36,,1.5,Fixed wing multi engine,EMBRAER,ERJ 190-100 IGW,2.0,20.0,Turbo-fan,0.0
MQ,3365,N822MQ,JFK,DCA,49.0,213,17,10,60.98,39.92,45.74,180.0,18.41248,26.46794,0.0,1017.8,10.0,,,,,,,0.0
9E,3289,N921XJ,JFK,BOS,40.0,187,11,55,30.92,10.94,42.82,270.0,20.71404,28.7695,0.0,1010.8,10.0,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2.0,95.0,Turbo-fan,1.0
US,487,N676AW,JFK,CLT,89.0,541,8,25,44.96,28.94,53.17,220.0,17.2617,,0.0,1008.3,10.0,Fixed wing multi engine,AIRBUS,A320-232,2.0,200.0,Turbo-fan,0.0
